id,Player,Team,Pos,GW11,GW12,GW13,GW14,GW15,GW16,Total,Price,Value
1,Sanchez,Arsenal,M,5.01,6,5.27,5.59,7.15,5.43,34.45,11.6,2.97
2,De Bruyne,Man City,M,6.49,4.5,4.31,4.43,3.82,4.57,28.11,10.5,2.68
3,Walcott,Arsenal,M,4.1,4.89,4.21,4.44,5.63,4.31,27.59,8.6,3.21
4,Yaya Toure,Man City,M,5.7,4.35,4.25,4.39,3.85,4.55,27.1,8.5,3.19
5,Ozil,Arsenal,M,4.24,4.73,4.16,4.33,5.37,4.2,27.04,8.5,3.18
6,Costa,Chelsea,F,4.8,3.94,5.32,3.58,5.15,4.11,26.9,11.1,2.42
7,Lukaku,Everton,F,5.2,3.87,4.7,3.85,4.66,3.93,26.22,8.4,3.12
8,Hazard,Chelsea,M,4.41,3.86,5.17,3.53,5.1,4.07,26.15,11.1,2.36
9,Kane,Tottenham,F,5.14,3.08,4.78,3.83,3.7,4.88,25.41,9.2,2.76
10,Rooney,Man Utd,F,3.92,4.54,3.94,3.92,4.77,3.94,25.03,10.2,2.45
11,Cazorla,Arsenal,M,3.8,4.24,3.76,3.9,4.8,3.8,24.29,8.1,3
12,Sterling,Man City,M,5.35,3.88,3.71,3.82,3.34,3.97,24.07,8.9,2.7
13,Mata,Man Utd,M,3.75,4.39,3.77,3.69,4.54,3.76,23.91,8.9,2.69
14,Mane,Southampton,M,4.78,3.93,4.3,2.72,4.55,3.57,23.84,7.9,3.02
15,Eriksen,Tottenham,M,4.87,2.79,4.39,3.52,3.45,4.49,23.51,8.4,2.8
16,Martial,Man Utd,F,3.7,4.24,3.69,3.67,4.47,3.69,23.46,8.3,2.83
17,Koscielny,Arsenal,D,3.41,3.93,3.71,3.68,4.7,3.81,23.25,5.9,3.94
18,Hart,Man City,GK,4.24,3.84,3.72,3.86,3.61,3.9,23.18,5.7,4.07
19,Pelle,Southampton,F,4.61,3.81,4.11,2.77,4.32,3.49,23.11,8.4,2.75
20,Cech,Arsenal,GK,3.59,3.8,3.79,3.76,4.27,3.88,23.1,5.6,4.12
21,Vardy,Leicester,F,3.68,4.77,3.81,3.61,3.42,3.77,23.06,7.2,3.2
22,Silva,Man City,M,1.17,4.04,4.42,4.59,3.99,4.79,22.99,10,2.3
23,Smalling,Man Utd,D,3.49,4.53,3.7,3.31,4.25,3.63,22.91,6.4,3.58
24,de Gea,Man Utd,GK,3.65,4.22,3.75,3.5,3.97,3.68,22.77,5.5,4.14
25,Coutinho,Liverpool,M,3.27,4.44,2.76,4.12,3.76,4.29,22.64,8.1,2.8
26,Bony,Man City,F,6.1,3.69,3.32,3.3,2.85,3.26,22.52,8.3,2.71
27,Benteke,Liverpool,F,3.41,4.39,2.8,4.01,3.68,4.13,22.43,8.2,2.74
28,Payet,West Ham,M,3.68,4.2,3.04,4.34,2.77,4.17,22.2,8.2,2.71
29,Lloris,Tottenham,GK,4.31,3,3.87,3.41,3.55,3.98,22.12,5,4.42
30,Cabaye,Crystal Palace,M,3.4,2.85,4.51,4.37,3.18,3.68,21.99,6.6,3.33
31,Kolarov,Man City,D,4.8,3.59,3.32,3.52,3.02,3.59,21.84,6.1,3.58
32,Bellerin,Arsenal,D,3.29,3.73,3.46,3.41,4.35,3.5,21.73,5.9,3.68
33,Ighalo,Watford,F,4.31,3.33,3.16,3.28,4.12,3.48,21.69,5.4,4.02
34,Kompany,Man City,D,4.3,3.55,3.35,3.59,3.12,3.71,21.63,6.3,3.43
35,Mignolet,Liverpool,GK,3.08,3.89,2.93,3.85,3.61,4.07,21.44,5.1,4.2
36,Ayew,Swansea,M,3.43,3.64,4.44,2.89,4.37,2.66,21.42,7.1,3.02
37,Gomis,Swansea,F,3.36,3.6,4.32,2.93,4.31,2.76,21.29,7,3.04
38,Azpilicueta,Chelsea,D,3.6,3.27,4.23,2.67,4.23,3.08,21.08,6,3.51
39,Gomes,Watford,GK,3.82,3.23,3.31,3.41,3.79,3.43,20.99,4.6,4.56
40,Coleman,Everton,D,4.35,2.78,4.16,2.94,3.79,2.97,20.98,5.9,3.56
41,Fabregas,Chelsea,M,3.66,3.12,4.03,2.82,3.96,3.18,20.76,8.6,2.41
42,Tadic,Southampton,M,4.2,3.41,3.7,2.41,3.88,3.08,20.69,7,2.96
43,Murray,Bournemouth,F,3,4.44,3.14,3.99,2.75,3.22,20.54,5.6,3.67
44,Howard,Everton,GK,3.82,3.13,3.74,3.17,3.51,3.17,20.53,5.1,4.03
45,Ritchie,Bournemouth,M,2.97,4.44,3.13,3.99,2.72,3.24,20.5,5.6,3.66
46,Mahrez,Leicester,M,3.4,4.24,3.36,3.17,2.99,3.26,20.42,6.5,3.14
47,Giroud,Arsenal,F,3.52,3.74,3.08,3.18,3.83,3.02,20.36,8.7,2.34
48,Barkley,Everton,M,4.26,3,3.62,2.94,3.49,2.95,20.25,6.8,2.98
49,Clyne,Liverpool,D,2.32,4.15,1.82,4.01,3.56,4.38,20.24,5.5,3.68
50,Fabianski,Swansea,GK,3.28,3.4,3.84,3.07,3.71,2.91,20.22,5,4.04
51,Deeney,Watford,F,3.78,3.08,2.96,3.06,3.79,3.25,19.93,5.1,3.91
52,Adrian,West Ham,GK,3.3,3.47,2.97,3.65,2.89,3.55,19.83,5,3.97
53,Schmeichel,Leicester,GK,3.32,3.72,3.28,3.19,3.09,3.16,19.76,4.5,4.39
54,Fonte,Southampton,D,4.06,3.32,3.84,1.57,4.12,2.83,19.74,5.4,3.66
55,Pantilimon,Sunderland,GK,3.13,3.37,3.09,3.55,2.92,3.64,19.7,4.8,4.1
56,Puncheon,Crystal Palace,M,3.13,2.6,3.99,3.86,2.84,3.26,19.69,5.8,3.39
57,Skrtel,Liverpool,D,2.22,4.02,1.73,3.9,3.44,4.26,19.58,5.5,3.56
58,van Dijk,Southampton,D,4.22,3.29,3.78,1.5,4.03,2.73,19.55,5.5,3.55
59,Sturridge,Liverpool,F,0.59,4.26,2.76,4.02,3.7,4.19,19.51,10.4,1.88
